# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
7.000000000000000E+005	-3.165345343659235E+001	3.359482855543270E+001	
7.026725791470498E+005	-3.167204463504142E+001	3.336534202198480E+001	
7.053553621216671E+005	-3.168095780800712E+001	3.311203561534740E+001	
7.080483878817615E+005	-3.169779762329813E+001	3.269450607039829E+001	
7.107516955339829E+005	-3.170924693105815E+001	3.233997276439252E+001	
7.134653243342892E+005	-3.172938218386608E+001	3.199760384367007E+001	
7.161893136885163E+005	-3.172471133942844E+001	3.159362164644384E+001	
7.189237031529503E+005	-3.174788763759745E+001	3.124856961695811E+001	
7.216685324349023E+005	-3.176956653036863E+001	3.086619945930156E+001	
7.244238413932845E+005	-3.177934117689978E+001	3.046660837409171E+001	
7.271896700391894E+005	-3.179815396633964E+001	3.014058454266943E+001	
7.299660585364705E+005	-3.182297429392738E+001	2.976864185609512E+001	
7.327530472023258E+005	-3.184581348291821E+001	2.940065694972009E+001	
7.355506765078831E+005	-3.184948941666131E+001	2.896408990752144E+001	
7.383589870787879E+005	-3.185878153976699E+001	2.858332049969397E+001	
7.411780196957929E+005	-3.190178487947726E+001	2.813381426007907E+001	
7.440078152953510E+005	-3.193414199416996E+001	2.777681986624490E+001	
7.468484149702088E+005	-3.194412021444619E+001	2.733406358019338E+001	
7.496998599700038E+005	-3.197957505348126E+001	2.693992053575817E+001	
7.525621917018638E+005	-3.200484653499733E+001	2.649653238431862E+001	
7.554354517310073E+005	-3.203013531637475E+001	2.606859037445578E+001	
7.583196817813480E+005	-3.205021587576437E+001	2.593033267103978E+001	
7.612149237360997E+005	-3.206996986646141E+001	2.525819056009940E+001	
7.641212196383857E+005	-3.208389578513626E+001	2.481919836368099E+001	
7.670386116918483E+005	-3.211749124774320E+001	2.433502284394180E+001	
7.699671422612621E+005	-3.215030171099195E+001	2.379720711395687E+001	
7.729068538731491E+005	-3.218667287465355E+001	2.331491742449084E+001	
7.758577892163966E+005	-3.220823044810373E+001	2.280993738672548E+001	
7.788199911428765E+005	-3.224491061846135E+001	2.221596123710120E+001	
7.817935026680678E+005	-3.227432546836425E+001	2.178182466027347E+001	
7.847783669716817E+005	-3.232818858511208E+001	2.120346086421873E+001	
7.877746273982879E+005	-3.235702408327961E+001	2.074467865345249E+001	
7.907823274579444E+005	-3.237881356092439E+001	2.020396046657497E+001	
7.938015108268296E+005	-3.243043599730149E+001	1.952618528984774E+001	
7.968322213478759E+005	-3.244636389311693E+001	1.889775905729714E+001	
7.998745030314069E+005	-3.251139389003954E+001	1.836879851882221E+001	
8.029284000557762E+005	-3.253818050726408E+001	1.777419022370189E+001	
8.059939567680092E+005	-3.262258647662661E+001	1.705192873020707E+001	
8.090712176844468E+005	-3.264904388184294E+001	1.641558964930580E+001	
8.121602274913921E+005	-3.268973774699087E+001	1.565199568937308E+001	
8.152610310457588E+005	-3.277343197710164E+001	1.505672967343137E+001	
8.183736733757233E+005	-3.282261260653317E+001	1.436662016096451E+001	
8.214981996813783E+005	-3.288901818129039E+001	1.370214371422716E+001	
8.246346553353888E+005	-3.293576112563964E+001	1.300848707653132E+001	
8.277830858836516E+005	-3.300975645659670E+001	1.209507402463841E+001	
8.309435370459561E+005	-3.305768621725217E+001	1.139334255476071E+001	
8.341160547166488E+005	-3.311909637062118E+001	1.058222608949491E+001	
8.373006849652990E+005	-3.317445869042190E+001	9.883568229724023E+000	
8.404974740373687E+005	-3.328837914454269E+001	8.877786122786432E+000	
8.437064683548834E+005	-3.338369079558619E+001	8.173370185848224E+000	
8.469277145171067E+005	-3.345548207674608E+001	7.108403128470649E+000	
8.501612593012166E+005	-3.353456282039586E+001	5.993815307489321E+000	
8.534071496629852E+005	-3.364323296914876E+001	5.717384642537512E+000	
8.566654327374602E+005	-3.368880023324579E+001	4.421187591692578E+000	
8.599361558396496E+005	-3.385881060472180E+001	3.275658714468410E+000	
8.632193664652085E+005	-3.387782712167699E+001	2.254878211656771E+000	
8.665151122911291E+005	-3.395635423633857E+001	1.035767123867669E+000	
8.698234411764330E+005	-3.410748777431596E+001	-3.435872881538711E-001	
8.731444011628662E+005	-3.423055265012768E+001	-1.353917435785290E+000	
8.764780404755963E+005	-3.436001403521124E+001	-2.723976868917040E+000	
8.798244075239137E+005	-3.456510171179610E+001	-3.871777824968123E+000	
8.831835509019335E+005	-3.456725897685995E+001	-4.919979552980231E+000	
8.865555193893019E+005	-3.472861213453526E+001	-6.542793695762362E+000	
8.899403619519044E+005	-3.489677800830848E+001	-7.811208678036445E+000	
8.933381277425767E+005	-3.500996890088096E+001	-9.367548053263704E+000	
8.967488661018185E+005	-3.518651468042269E+001	-1.125766220746244E+001	
9.001726265585104E+005	-3.538438039801967E+001	-1.237977320573056E+001	
9.036094588306323E+005	-3.562201505120082E+001	-1.460005452707625E+001	
9.070594128259862E+005	-3.573589412248277E+001	-1.599899854560311E+001	
9.105225386429204E+005	-3.596676450623595E+001	-1.796404831952173E+001	
9.139988865710575E+005	-3.616066195845359E+001	-2.009136670548939E+001	
9.174885070920240E+005	-3.637140748903875E+001	-2.272549674912918E+001	
9.209914508801840E+005	-3.661736668606838E+001	-2.431023839866205E+001	
9.245077688033747E+005	-3.687225066503918E+001	-2.648335084204020E+001	
9.280375119236454E+005	-3.704569523276672E+001	-2.932942221894935E+001	
9.315807314979984E+005	-3.723432549485698E+001	-3.171541953031533E+001	
