# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Mem19[Trc9]_S21	ang:Mem19[Trc9]_S21	
7.348073558198895E+005	-3.933129912486208E+001	-1.119311883194696E+002	
7.369700821425533E+005	-3.947921574751178E+001	-1.161229696927359E+002	
7.391391739229248E+005	-3.956425469130894E+001	-1.209307733223935E+002	
7.413146498961770E+005	-3.970370214198135E+001	-1.256007310496952E+002	
7.434965288526253E+005	-3.974160406794319E+001	-1.293048505691103E+002	
7.456848296378898E+005	-3.973223451918323E+001	-1.341422059869267E+002	
7.478795711530581E+005	-3.956545505575521E+001	-1.385420547834523E+002	
7.500807723548487E+005	-3.944578260260685E+001	-1.436566806059782E+002	
7.522884522557743E+005	-3.933647257941744E+001	-1.481582522042200E+002	
7.545026299243065E+005	-3.919833327841077E+001	-1.529289993168194E+002	
7.567233244850404E+005	-3.905628317340532E+001	-1.578148508086288E+002	
7.589505551188593E+005	-3.891898600448742E+001	-1.622409570123969E+002	
7.611843410631011E+005	-3.868593911132293E+001	-1.666516278483927E+002	
7.634247016117239E+005	-3.854636018134331E+001	-1.714234738311396E+002	
7.656716561154730E+005	-3.836122503840101E+001	-1.747357757846156E+002	
7.679252239820480E+005	-3.810875947962207E+001	-1.785529644544927E+002	
7.701854246762700E+005	-3.793444081377314E+001	1.777342771542230E+002	
7.724522777202503E+005	-3.776846369007266E+001	1.746777462473347E+002	
7.747258026935587E+005	-3.742056754757272E+001	1.720706037924647E+002	
7.770060192333928E+005	-3.717046588811520E+001	1.686144819983306E+002	
7.792929470347473E+005	-3.693120892227674E+001	1.655976218894539E+002	
7.815866058505846E+005	-3.671129720383996E+001	1.626611175311277E+002	
7.838870154920048E+005	-3.642150633356027E+001	1.599734284743878E+002	
7.861941958284174E+005	-3.628269086028516E+001	1.576914282615748E+002	
7.885081667877126E+005	-3.600009956579680E+001	1.548902576186882E+002	
7.908289483564333E+005	-3.577778510644377E+001	1.529087027433523E+002	
7.931565605799482E+005	-3.550146244145839E+001	1.503206300397202E+002	
7.954910235626246E+005	-3.532014180957549E+001	1.478519487843701E+002	
7.978323574680019E+005	-3.510549301680418E+001	1.460514304282568E+002	
8.001805825189661E+005	-3.491022198940566E+001	1.437393437989253E+002	
8.025357189979244E+005	-3.473152893393631E+001	1.417424234276159E+002	
8.048977872469801E+005	-3.462704128759633E+001	1.400483949594936E+002	
8.072668076681090E+005	-3.438788954301880E+001	1.386272946729863E+002	
8.096428007233344E+005	-3.428189956513086E+001	1.367831166205556E+002	
8.120257869349053E+005	-3.409159136457565E+001	1.351399473011089E+002	
8.144157868854726E+005	-3.393839158311809E+001	1.339729506110750E+002	
8.168128212182671E+005	-3.379776323212064E+001	1.321181036128934E+002	
8.192169106372781E+005	-3.369083531170703E+001	1.317617019014320E+002	
8.216280759074321E+005	-3.342588151483627E+001	1.298210109757771E+002	
8.240463378547720E+005	-3.333650371790809E+001	1.283229504595998E+002	
8.264717173666371E+005	-3.317099136533362E+001	1.274742454338166E+002	
8.289042353918434E+005	-3.303870278628679E+001	1.261854104001448E+002	
8.313439129408647E+005	-3.288648673775707E+001	1.247303603682491E+002	
8.337907710860141E+005	-3.285542240950082E+001	1.240580704843023E+002	
8.362448309616258E+005	-3.265791431829896E+001	1.233977528388861E+002	
8.387061137642379E+005	-3.247735823608048E+001	1.221533551128096E+002	
8.411746407527750E+005	-3.232299489468683E+001	1.207750708405633E+002	
8.436504332487327E+005	-3.225270804723694E+001	1.197085910306187E+002	
8.461335126363607E+005	-3.208920210224445E+001	1.188883318577434E+002	
8.486239003628484E+005	-3.195929469551435E+001	1.176595921632526E+002	
8.511216179385096E+005	-3.182262837393683E+001	1.164546351126882E+002	
8.536266869369684E+005	-3.176991787413006E+001	1.153824472190866E+002	
8.561391289953457E+005	-3.164073493052281E+001	1.144072187287995E+002	
8.586589658144461E+005	-3.160522079278295E+001	1.132485703571129E+002	
8.611862191589450E+005	-3.151255143170771E+001	1.129795219671824E+002	
8.637209108575771E+005	-3.138227946449651E+001	1.120165293114514E+002	
8.662630628033243E+005	-3.127911807795475E+001	1.110303180194250E+002	
8.688126969536055E+005	-3.118388438280583E+001	1.101306430316230E+002	
8.713698353304657E+005	-3.111933374652908E+001	1.093521528344874E+002	
8.739345000207664E+005	-3.104171266700545E+001	1.086818540309780E+002	
8.765067131763765E+005	-3.095769946027201E+001	1.080530193727160E+002	
8.790864970143637E+005	-3.084821792107328E+001	1.071558084119064E+002	
8.816738738171856E+005	-3.076239012999892E+001	1.063300549423960E+002	
8.842688659328836E+005	-3.071446526072962E+001	1.055421908632077E+002	
8.868714957752745E+005	-3.063012245764571E+001	1.049586007680521E+002	
8.894817858241450E+005	-3.055582605422069E+001	1.042747494946209E+002	
8.920997586254454E+005	-3.046659803917441E+001	1.036111469220392E+002	
8.947254367914847E+005	-3.039865564836311E+001	1.029048953740818E+002	
8.973588430011256E+005	-3.032974307230348E+001	1.020992126430732E+002	
9.000000000000000E+005	-3.028585471016010E+001	1.013620624940211E+002	
