# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
5.000000000000000E+005	-3.164150331153638E+001	2.917572199622188E+001	
5.014716281114597E+005	-3.162716819958892E+001	2.895285511436143E+001	
5.029475876015163E+005	-3.161514995985591E+001	2.870389357259831E+001	
5.044278912185268E+005	-3.160719187274940E+001	2.846501981096499E+001	
5.059125517483699E+005	-3.159146564886058E+001	2.820193001967419E+001	
5.074015820145563E+005	-3.158556948264202E+001	2.797321328885207E+001	
5.088949948783399E+005	-3.157767391108456E+001	2.771163998061160E+001	
5.103928032388281E+005	-3.156873432909495E+001	2.744946647136006E+001	
5.118950200330942E+005	-3.156391794684211E+001	2.718456701435301E+001	
5.134016582362881E+005	-3.155083742153737E+001	2.690627204611787E+001	
5.149127308617492E+005	-3.154597960189639E+001	2.664117988429835E+001	
5.164282509611185E+005	-3.153321671225040E+001	2.635748761133250E+001	
5.179482316244512E+005	-3.153231182377522E+001	2.607006052247250E+001	
5.194726859803301E+005	-3.152935125320448E+001	2.581686388477102E+001	
5.210016271959784E+005	-3.151562454618036E+001	2.553210883232790E+001	
5.225350684773741E+005	-3.151473882242985E+001	2.521120877757366E+001	
5.240730230693638E+005	-3.150530617144856E+001	2.493661613746748E+001	
5.256155042557769E+005	-3.150384572509697E+001	2.465952656065404E+001	
5.271625253595406E+005	-3.149328063687349E+001	2.432378686986900E+001	
5.287140997427950E+005	-3.149031275497926E+001	2.401878035704199E+001	
5.302702408070082E+005	-3.148082322691170E+001	2.372074301466190E+001	
5.318309619930924E+005	-3.147792680164746E+001	2.340455560039978E+001	
5.333962767815199E+005	-3.148222771904244E+001	2.304791752452217E+001	
5.349661986924391E+005	-3.147861048954854E+001	2.277106031953707E+001	
5.365407412857922E+005	-3.147394594333609E+001	2.246162226371385E+001	
5.381199181614314E+005	-3.147192427249156E+001	2.212382001395994E+001	
5.397037429592370E+005	-3.146703183193704E+001	2.178918203991741E+001	
5.412922293592347E+005	-3.145634514867775E+001	2.144627609046976E+001	
5.428853910817142E+005	-3.146243881889703E+001	2.111949466352753E+001	
5.444832418873475E+005	-3.145495730045844E+001	2.076027167987099E+001	
5.460857955773078E+005	-3.145561969598866E+001	2.042316950874328E+001	
5.476930659933887E+005	-3.145297477848888E+001	2.005181661550945E+001	
5.493050670181236E+005	-3.145107007125628E+001	1.968747354942329E+001	
5.509218125749058E+005	-3.145570727454444E+001	1.930692749181259E+001	
5.525433166281090E+005	-3.144925249987329E+001	1.893050883227846E+001	
5.541695931832072E+005	-3.144923034719357E+001	1.855827711935207E+001	
5.558006562868964E+005	-3.145546065695651E+001	1.816060595030447E+001	
5.574365200272156E+005	-3.145642095322344E+001	1.779553830814895E+001	
5.590771985336683E+005	-3.145527573277471E+001	1.736164126677381E+001	
5.607227059773449E+005	-3.145316749544994E+001	1.697195675238675E+001	
5.623730565710450E+005	-3.145236343674060E+001	1.655429858975463E+001	
5.640282645693999E+005	-3.144652588071324E+001	1.613309310950858E+001	
5.656883442689963E+005	-3.145004108158178E+001	1.572102583965792E+001	
5.673533100084990E+005	-3.146161886288041E+001	1.533203887189257E+001	
5.690231761687754E+005	-3.146337454571510E+001	1.487393568166493E+001	
5.706979571730195E+005	-3.146285353465522E+001	1.445736601405248E+001	
5.723776674868765E+005	-3.147315192253327E+001	1.395700978765418E+001	
5.740623216185673E+005	-3.147449580979252E+001	1.351216865965484E+001	
5.757519341190148E+005	-3.148625138596174E+001	1.303638473144707E+001	
5.774465195819684E+005	-3.149168285089150E+001	1.256611445190562E+001	
5.791460926441313E+005	-3.151203838561624E+001	1.205615486047025E+001	
5.808506679852856E+005	-3.151591831778371E+001	1.158718136520676E+001	
5.825602603284202E+005	-3.152505464271999E+001	1.112726286319286E+001	
5.842748844398574E+005	-3.153377132172953E+001	1.067254155375672E+001	
