# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
5.000000000000000E+005	-2.618950649127346E+001	1.132686990378645E+002	
5.032761480982608E+005	-2.611470521237989E+001	1.127289125211054E+002	
5.065737624892451E+005	-2.604408057117947E+001	1.122516461385628E+002	
5.098929838264610E+005	-2.595554587142389E+001	1.116786055090659E+002	
5.132339536850202E+005	-2.587973482906113E+001	1.111527688001590E+002	
5.165968145676763E+005	-2.586647752681545E+001	1.109611880111886E+002	
5.199817099109033E+005	-2.572974857818677E+001	1.101608967143349E+002	
5.233887840910133E+005	-2.568066094646083E+001	1.097770610507822E+002	
5.268181824303150E+005	-2.558375178592328E+001	1.091722543052726E+002	
5.302700512033115E+005	-2.562048231400334E+001	1.093572395602209E+002	
5.337445376429403E+005	-2.544971252923286E+001	1.083227776472967E+002	
5.372417899468524E+005	-2.537793863109194E+001	1.079283695257161E+002	
5.407619572837337E+005	-2.533463875194376E+001	1.077652620072878E+002	
5.443051897996675E+005	-2.522144633115118E+001	1.068257804298092E+002	
5.478716386245388E+005	-2.515088521881650E+001	1.063838259248293E+002	
5.514614558784805E+005	-2.509775688153049E+001	1.061740826098829E+002	
5.550747946783613E+005	-2.501205232712849E+001	1.056169619254318E+002	
5.587118091443173E+005	-2.493525886989811E+001	1.052502079610136E+002	
5.623726544063253E+005	-2.489281028599713E+001	1.055079141312864E+002	
5.660574866108197E+005	-2.478685749842725E+001	1.045239920454578E+002	
5.697664629273524E+005	-2.470565945791199E+001	1.041571403237014E+002	
5.734997415552969E+005	-2.463160544501637E+001	1.034693412643788E+002	
5.772574817305958E+005	-2.455524337167141E+001	1.030762883857588E+002	
5.810398437325528E+005	-2.447840319489125E+001	1.027906846892058E+002	
5.848469888906692E+005	-2.442546204849554E+001	1.033799537761592E+002	
5.886790795915247E+005	-2.431939834549887E+001	1.019169954360403E+002	
5.925362792857041E+005	-2.426665920618195E+001	1.025537624601126E+002	
5.964187524947689E+005	-2.416293021395976E+001	1.010450154425628E+002	
