# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
5.000000000000000E+005	-2.664456406661106E+001	1.159729535986702E+002	
5.032761480982608E+005	-2.655661817053892E+001	1.155665344620272E+002	
5.065737624892451E+005	-2.645429637027246E+001	1.151317756202043E+002	
5.098929838264610E+005	-2.635544917610052E+001	1.146956897778945E+002	
5.132339536850202E+005	-2.626308880609316E+001	1.142405374136413E+002	
5.165968145676763E+005	-2.617773802267823E+001	1.138321043337409E+002	
5.199817099109033E+005	-2.609708987372247E+001	1.134094785736709E+002	
5.233887840910133E+005	-2.601797994538992E+001	1.130328021263171E+002	
5.268181824303150E+005	-2.592083073231113E+001	1.125738115932241E+002	
5.302700512033115E+005	-2.583839158995387E+001	1.121569917481870E+002	
5.337445376429403E+005	-2.574966285527065E+001	1.117315094016433E+002	
5.372417899468524E+005	-2.565680403142244E+001	1.112758141315213E+002	
5.407619572837337E+005	-2.556350716955921E+001	1.108234336755640E+002	
5.443051897996675E+005	-2.543664011246189E+001	1.101572839196157E+002	
5.478716386245388E+005	-2.532010126210344E+001	1.095087176926459E+002	
5.514614558784805E+005	-2.523624678685135E+001	1.090838542944016E+002	
5.550747946783613E+005	-2.515133986606828E+001	1.086403219036070E+002	
5.587118091443173E+005	-2.506460115750575E+001	1.081966776215061E+002	
5.623726544063253E+005	-2.498171658832360E+001	1.077602283785619E+002	
5.660574866108197E+005	-2.489355152389969E+001	1.072847251903602E+002	
5.697664629273524E+005	-2.480972748463717E+001	1.068401223776742E+002	
5.734997415552969E+005	-2.472406256683665E+001	1.063783558186269E+002	
5.772574817305958E+005	-2.462073245890463E+001	1.054552040736066E+002	
5.810398437325528E+005	-2.455696142184821E+001	1.054923696690916E+002	
5.848469888906692E+005	-2.447347578791439E+001	1.050678611105126E+002	
5.886790795915247E+005	-2.438693177892567E+001	1.045955534941764E+002	
5.925362792857041E+005	-2.430589841704752E+001	1.041463376804615E+002	
5.964187524947689E+005	-2.422298950693704E+001	1.037173916353526E+002	
6.003266648182746E+005	-2.413944634811880E+001	1.032794837221742E+002	
6.042601829408339E+005	-2.405206549275777E+001	1.028242102908733E+002	
6.082194746392266E+005	-2.396564711672476E+001	1.022327223005472E+002	
6.122047087895556E+005	-2.388367082206632E+001	1.018314982956558E+002	
6.162160553744501E+005	-2.379788712788126E+001	1.014585593472016E+002	
6.202536854903157E+005	-2.371505604234543E+001	1.010760401563830E+002	
6.243177713546323E+005	-2.363150197081449E+001	1.006545650997986E+002	
6.284084863133002E+005	-2.354571155864853E+001	1.002418295036550E+002	
6.325260048480327E+005	-2.346208298891013E+001	9.981248517036933E+001	
6.366705025837995E+005	-2.337851740599241E+001	9.934441225417754E+001	
6.408421562963169E+005	-2.329795192978759E+001	9.905604412941244E+001	
6.450411439195880E+005	-2.321537142341234E+001	9.870008564187096E+001	
6.492676445534922E+005	-2.312966831345732E+001	9.825391307345954E+001	
