# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
5.000000000000000E+005	-2.618990290059108E+001	1.132770820393624E+002	
5.032761480982608E+005	-2.611396219434548E+001	1.127370445457097E+002	
5.065737624892451E+005	-2.603277354456244E+001	1.122051950657065E+002	
5.098929838264610E+005	-2.595420264887581E+001	1.116677134690295E+002	
5.132339536850202E+005	-2.606498780498734E+001	1.119913604537376E+002	
5.165968145676763E+005	-2.581331510898762E+001	1.106976552786785E+002	
5.199817099109033E+005	-2.583467038702418E+001	1.107437123177389E+002	
5.233887840910133E+005	-2.569417509264151E+001	1.098627382717766E+002	
5.268181824303150E+005	-2.558459226960166E+001	1.091507800263122E+002	
5.302700512033115E+005	-2.550993360372988E+001	1.086849748001210E+002	
5.337445376429403E+005	-2.544259599175016E+001	1.083309935786242E+002	
5.372417899468524E+005	-2.537433571773118E+001	1.079142155557372E+002	
5.407619572837337E+005	-2.529187339301204E+001	1.072845134661745E+002	
5.443051897996675E+005	-2.522273418900241E+001	1.068275438247105E+002	
5.478716386245388E+005	-2.521352666157823E+001	1.069166241038772E+002	
5.514614558784805E+005	-2.518785031618850E+001	1.072224432868679E+002	
5.550747946783613E+005	-2.500659284762274E+001	1.055533280866636E+002	
5.587118091443173E+005	-2.493225317335353E+001	1.051119069638322E+002	
5.623726544063253E+005	-2.485882697952343E+001	1.047080028874063E+002	
5.660574866108197E+005	-2.478354483117965E+001	1.042579899422834E+002	
5.697664629273524E+005	-2.470870792840756E+001	1.038604166973546E+002	
5.734997415552969E+005	-2.483771648760297E+001	1.055638727430844E+002	
5.772574817305958E+005	-2.455694195912164E+001	1.031654191864539E+002	
5.810398437325528E+005	-2.448085260486419E+001	1.027182934132803E+002	
5.848469888906692E+005	-2.440023868707326E+001	1.022974542307440E+002	
5.886790795915247E+005	-2.432102156251466E+001	1.018590618787095E+002	
5.925362792857041E+005	-2.424403194807865E+001	1.014008628574438E+002	
5.964187524947689E+005	-2.416449143870604E+001	1.010207676343413E+002	
6.003266648182746E+005	-2.408463823324118E+001	1.006276544279771E+002	
6.042601829408339E+005	-2.400194645501503E+001	1.002160425574829E+002	
6.082194746392266E+005	-2.392654282111187E+001	9.999892867458499E+001	
6.122047087895556E+005	-2.383824760107476E+001	9.942587431826777E+001	
6.162160553744501E+005	-2.375656283061389E+001	9.908798790232598E+001	
6.202536854903157E+005	-2.367551036280534E+001	9.857884940813776E+001	
6.243177713546323E+005	-2.359319946484646E+001	9.816147859400756E+001	
6.284084863133002E+005	-2.350612645912536E+001	9.774343005608978E+001	
6.325260048480327E+005	-2.342429870849892E+001	9.733004913500562E+001	
6.366705025837995E+005	-2.334434273702700E+001	9.690106162876076E+001	
6.408421562963169E+005	-2.324729158257322E+001	9.722017454605054E+001	
6.450411439195880E+005	-2.317434967495850E+001	9.607521082480925E+001	
6.492676445534922E+005	-2.309071277441419E+001	9.564386432604458E+001	
6.535218384714247E+005	-2.300649905121876E+001	9.523653082875839E+001	
6.578039071279848E+005	-2.292004397106321E+001	9.502952786366291E+001	
6.621140331667166E+005	-2.283682259191886E+001	9.433416598455142E+001	
6.664524004278985E+005	-2.275421388938345E+001	9.392872793967443E+001	
6.708191939563849E+005	-2.266946223596932E+001	9.348663838130852E+001	
6.752146000094990E+005	-2.258126989198885E+001	9.304693528005747E+001	
6.796388060649771E+005	-2.249865874902469E+001	9.259494965005378E+001	
6.840920008289651E+005	-2.240362263207815E+001	9.214374644412531E+001	
6.885743742440676E+005	-2.232250120941998E+001	9.184573759651326E+001	
6.930861174974493E+005	-2.223075645841131E+001	9.141487680064486E+001	
6.976274230289898E+005	-2.215301868673156E+001	9.105117162727970E+001	
7.021984845394918E+005	-2.205862855887919E+001	9.042417388671308E+001	
7.067994969989432E+005	-2.197755896680331E+001	9.001081140951314E+001	
7.114306566548328E+005	-2.189276117969633E+001	8.950805935425080E+001	
7.160921610405211E+005	-2.180065149114057E+001	8.907611930630392E+001	
7.207842089836659E+005	-2.170630493975466E+001	8.863139120269416E+001	
7.255070006147025E+005	-2.161552253084819E+001	8.832270536612917E+001	
7.302607373753800E+005	-2.153500804023836E+001	8.765139901020331E+001	
7.350456220273539E+005	-2.144224207563431E+001	8.724288693072502E+001	
7.398618586608336E+005	-2.134984096174042E+001	8.677302325704294E+001	
7.447096527032884E+005	-2.125929380790458E+001	8.630481503996830E+001	
7.495892109282091E+005	-2.116931730570667E+001	8.578670451840651E+001	
7.545007414639277E+005	-2.108152816623928E+001	8.530940042954275E+001	
7.594444538024946E+005	-2.097980610913117E+001	8.486530410528567E+001	
7.644205588086142E+005	-2.088775917311343E+001	8.444143642775141E+001	
7.694292687286388E+005	-2.079360805642254E+001	8.401642177027455E+001	
7.744707971996219E+005	-2.069883195078268E+001	8.343197115588929E+001	
7.795453592584301E+005	-2.060602233608972E+001	8.304759069440627E+001	
7.846531713509152E+005	-2.050467935184867E+001	8.236926538656499E+001	
7.897944513411465E+005	-2.041849143419331E+001	8.192188053016825E+001	
7.949694185207030E+005	-2.031938107062700E+001	8.134133766326706E+001	
8.001782936180272E+005	-2.021718762493626E+001	8.088095501271855E+001	
8.054212988078399E+005	-2.011757419689493E+001	8.036786137161641E+001	
8.106986577206160E+005	-2.001527426422907E+001	7.984295288340904E+001	
8.160105954521240E+005	-1.991493347780793E+001	7.930204841281369E+001	
8.213573385730264E+005	-1.982017130588405E+001	7.872708869035647E+001	
8.267391151385435E+005	-1.971226163402502E+001	7.816546547526181E+001	
8.321561546981814E+005	-1.960289629403967E+001	7.759177201729065E+001	
8.376086883055224E+005	-1.950201974712985E+001	7.707011204371041E+001	
8.430969485280803E+005	-1.940740041918645E+001	7.656100773455361E+001	
8.486211694572198E+005	-1.928059325106067E+001	7.590378775836823E+001	
8.541815867181420E+005	-1.920112193580727E+001	7.533126542116062E+001	
8.597784374799342E+005	-1.908905728650126E+001	7.487878223651318E+001	
8.654119604656852E+005	-1.896991267887816E+001	7.414307394010916E+001	
8.710823959626689E+005	-1.885609977216006E+001	7.360743530719095E+001	
8.767899858325921E+005	-1.874254688756445E+001	7.297367460169990E+001	
8.825349735219113E+005	-1.862718293330981E+001	7.224968265863834E+001	
8.883176040722162E+005	-1.852991723083376E+001	7.165180221967448E+001	
8.941381241306819E+005	-1.840536179485778E+001	7.102759335556675E+001	
8.999967819605883E+005	-1.827002800363329E+001	7.034936517549195E+001	
9.058938274519104E+005	-1.816935633168104E+001	6.969433465866705E+001	
9.118295121319760E+005	-1.803689923301132E+001	6.895993369295073E+001	
9.178040891761945E+005	-1.791666336663591E+001	6.834396400311165E+001	
9.238178134188557E+005	-1.778455555608953E+001	6.753985250068652E+001	
9.298709413639989E+005	-1.766429854895892E+001	6.670941440556929E+001	
9.359637311963543E+005	-1.753024489448652E+001	6.601990734473159E+001	
9.420964427923544E+005	-1.740609692540217E+001	6.520636933837486E+001	
9.482693377312193E+005	-1.726920175402884E+001	6.432624571202787E+001	
9.544826793061136E+005	-1.712037670458237E+001	6.348800693023193E+001	
9.607367325353769E+005	-1.697382188076303E+001	6.271115278831366E+001	
9.670317641738271E+005	-1.687140274253051E+001	6.162485441486837E+001	
9.733680427241389E+005	-1.668150560866539E+001	6.086539817036287E+001	
9.797458384482961E+005	-1.654891840082008E+001	5.964167620721796E+001	
9.861654233791188E+005	-1.640100135530492E+001	5.882646427938702E+001	
9.926270713318669E+005	-1.627131222063206E+001	5.786931392923267E+001	
9.991310579159191E+005	-1.610273943053961E+001	5.671374990340453E+001	
1.005677660546528E+006	-1.593981660249031E+001	5.574870096184962E+001	
1.012267158456654E+006	-1.579337250956096E+001	5.438022298281888E+001	
1.018899832708873E+006	-1.563945962019572E+001	5.299661653578708E+001	
1.025575966207368E+006	-1.547276861576482E+001	5.189172075541800E+001	
1.032295843709993E+006	-1.531253149521024E+001	4.980386081426619E+001	
1.039059751840419E+006	-1.520284678234662E+001	4.918237814772689E+001	
1.045867979100362E+006	-1.495331323422489E+001	4.740422440004750E+001	
1.052720815881885E+006	-1.496168650812801E+001	4.709245364284884E+001	
1.059618554479787E+006	-1.482644958022327E+001	4.503033233181075E+001	
1.066561489104068E+006	-1.451088915176988E+001	4.345507161543942E+001	
1.073549915892481E+006	-1.439767007309434E+001	4.233906446472855E+001	
1.080584132923160E+006	-1.428646222789818E+001	4.039958687325906E+001	
1.087664440227334E+006	-1.398071410426131E+001	3.873192645465799E+001	
1.094791139802127E+006	-1.377156478490422E+001	3.653319508587047E+001	
1.101964535623438E+006	-1.358721142279040E+001	3.469774275160748E+001	
1.109184933658906E+006	-1.335489600381856E+001	3.197401324865345E+001	
1.116452641880958E+006	-1.318229880277019E+001	2.926946092193549E+001	
1.123767970279951E+006	-1.305380654865113E+001	2.572732451275061E+001	
1.131131230877389E+006	-1.301182154756705E+001	2.244242157781745E+001	
1.138542737739234E+006	-1.307117186677957E+001	2.055705790203964E+001	
1.146002806989300E+006	-1.283941185668029E+001	1.791640972825891E+001	
1.153511756822739E+006	-1.269865170127119E+001	1.490310954056160E+001	
1.161069907519612E+006	-1.276556307047373E+001	1.048336305167885E+001	
1.168677581458549E+006	-1.284291165485463E+001	9.222620669160680E+000	
1.176335103130500E+006	-1.270752829344651E+001	4.311855701575338E+000	
1.184042799152576E+006	-1.272124576567451E+001	1.819498225539810E+000	
1.191800998281983E+006	-1.265403967847816E+001	-1.663814063442780E+000	
1.199610031430037E+006	-1.246776343223516E+001	-5.495086147731272E+000	
1.207470231676285E+006	-1.287174240980457E+001	-9.791325120087921E+000	
1.215381934282710E+006	-1.266109556464955E+001	-1.589789412684993E+001	
1.223345476708032E+006	-1.301690095754494E+001	-2.061228393309451E+001	
1.231361198622098E+006	-1.325337233652706E+001	-2.419489290537356E+001	
1.239429441920374E+006	-1.368668745986295E+001	-2.778414843935753E+001	
1.247550550738526E+006	-1.410741240479553E+001	-3.082088007769875E+001	
1.255724871467098E+006	-1.480988484155972E+001	-3.479699529247158E+001	
1.263952752766290E+006	-1.465272217462149E+001	-3.691979094729879E+001	
1.272234545580823E+006	-1.501399914166599E+001	-4.239990002079314E+001	
1.280570603154916E+006	-1.557318098967771E+001	-4.636913177265383E+001	
1.288961281047345E+006	-1.626261219542735E+001	-5.021066616167466E+001	
1.297406937146615E+006	-1.676930534093474E+001	-5.237936493419500E+001	
1.305907931686222E+006	-1.734646183729024E+001	-5.641557044505480E+001	
1.314464627260017E+006	-1.798776802148545E+001	-5.838635170868940E+001	
1.323077388837675E+006	-1.876340312065990E+001	-6.119469046128442E+001	
1.331746583780260E+006	-1.936004343015772E+001	-6.358205570645941E+001	
1.340472581855894E+006	-2.001270734692978E+001	-6.528049491140018E+001	
