# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
5.000000000000000E+005	-2.629174310675075E+001	1.138447214849984E+002	
5.032761480982608E+005	-2.620618030011327E+001	1.133291038454519E+002	
5.065737624892451E+005	-2.611381230789669E+001	1.128287955340334E+002	
5.098929838264610E+005	-2.602658906231451E+001	1.123146211420498E+002	
5.132339536850202E+005	-2.594343197596698E+001	1.118020937775672E+002	
5.165968145676763E+005	-2.585868608203993E+001	1.113008433145073E+002	
5.199817099109033E+005	-2.577592306120386E+001	1.108126431939963E+002	
5.233887840910133E+005	-2.565925704741893E+001	1.098956051514078E+002	
5.268181824303150E+005	-2.559770529543652E+001	1.094790228989771E+002	
5.302700512033115E+005	-2.549905156564974E+001	1.087581395436626E+002	
5.337445376429403E+005	-2.542581106247566E+001	1.082826934923355E+002	
5.372417899468524E+005	-2.535276397035433E+001	1.078095196644323E+002	
5.407619572837337E+005	-2.528202774987102E+001	1.073598353730892E+002	
5.443051897996675E+005	-2.521179689193271E+001	1.069098686521515E+002	
5.478716386245388E+005	-2.513976282614738E+001	1.064608712714536E+002	
5.514614558784805E+005	-2.506857631811499E+001	1.060293102137197E+002	
5.550747946783613E+005	-2.499444189126219E+001	1.056349475658525E+002	
5.587118091443173E+005	-2.491953615487219E+001	1.051914499011924E+002	
5.623726544063253E+005	-2.484414028803764E+001	1.049131530460567E+002	
5.660574866108197E+005	-2.476644507151817E+001	1.047839811027651E+002	
5.697664629273524E+005	-2.468944130797987E+001	1.043645571208758E+002	
5.734997415552969E+005	-2.461053381752196E+001	1.039329802423607E+002	
5.772574817305958E+005	-2.453353275186947E+001	1.035029054793792E+002	
5.810398437325528E+005	-2.445613067492172E+001	1.030705103421809E+002	
5.848469888906692E+005	-2.438086107804292E+001	1.024835645757727E+002	
5.886790795915247E+005	-2.430100532484930E+001	1.020753850989380E+002	
5.925362792857041E+005	-2.422278546113537E+001	1.016638068639826E+002	
5.964187524947689E+005	-2.413920746400652E+001	1.013970028783031E+002	
6.003266648182746E+005	-2.405761372220909E+001	1.010266471296562E+002	
6.042601829408339E+005	-2.397464851454581E+001	1.005993006131796E+002	
6.082194746392266E+005	-2.389373368717946E+001	1.001877530434564E+002	
6.122047087895556E+005	-2.381194250870653E+001	9.976067784458532E+001	
6.162160553744501E+005	-2.373014953762263E+001	9.930011501051510E+001	
6.202536854903157E+005	-2.365073776025518E+001	9.885552099351202E+001	
6.243177713546323E+005	-2.356961700060592E+001	9.844107936267398E+001	
6.284084863133002E+005	-2.348317331017914E+001	9.801205068314738E+001	
6.325260048480327E+005	-2.340032202922071E+001	9.760176836791371E+001	
6.366705025837995E+005	-2.332036773856770E+001	9.716991199564428E+001	
6.408421562963169E+005	-2.323712493863321E+001	9.674969022133297E+001	
6.450411439195880E+005	-2.315227165719083E+001	9.630394645031267E+001	
6.492676445534922E+005	-2.306824695466406E+001	9.587918201961111E+001	
6.535218384714247E+005	-2.299355543572444E+001	9.532635270335599E+001	
6.578039071279848E+005	-2.290904788066710E+001	9.489099505845060E+001	
6.621140331667166E+005	-2.282343767918825E+001	9.445150961691297E+001	
6.664524004278985E+005	-2.273053942670607E+001	9.417628195182955E+001	
6.708191939563849E+005	-2.264369021242409E+001	9.374963823367972E+001	
6.752146000094990E+005	-2.255779101658941E+001	9.329713930976324E+001	
6.796388060649771E+005	-2.247588609433046E+001	9.282700727038257E+001	
6.840920008289651E+005	-2.237756873803635E+001	9.255343508745592E+001	
6.885743742440676E+005	-2.230288858483277E+001	9.196896213106952E+001	
6.930861174974493E+005	-2.221750092442306E+001	9.149636171202219E+001	
6.976274230289898E+005	-2.213554472407310E+001	9.107505098293449E+001	
7.021984845394918E+005	-2.204033035562039E+001	9.062859058749028E+001	
7.067994969989432E+005	-2.195803804913329E+001	9.021115250571700E+001	
7.114306566548328E+005	-2.187119867187062E+001	8.975762159639545E+001	
7.160921610405211E+005	-2.177975275116390E+001	8.931635896571468E+001	
7.207842089836659E+005	-2.168188443329338E+001	8.888567471239149E+001	
7.255070006147025E+005	-2.160280358756464E+001	8.837021988533165E+001	
7.302607373753800E+005	-2.151715066721797E+001	8.777420154641118E+001	
7.350456220273539E+005	-2.142306115829098E+001	8.740837064480790E+001	
7.398618586608336E+005	-2.133159589704421E+001	8.695274676371157E+001	
7.447096527032884E+005	-2.123783046445150E+001	8.651048967062192E+001	
7.495892109282091E+005	-2.114897697451544E+001	8.600419785029297E+001	
7.545007414639277E+005	-2.105803637603416E+001	8.551569822830909E+001	
7.594444538024946E+005	-2.095812151026381E+001	8.507163594408499E+001	
7.644205588086142E+005	-2.086953162555574E+001	8.459175564338342E+001	
7.694292687286388E+005	-2.077615886602684E+001	8.411016608703623E+001	
7.744707971996219E+005	-2.067720337044037E+001	8.362938940670854E+001	
7.795453592584301E+005	-2.058906604366787E+001	8.314045914096175E+001	
7.846531713509152E+005	-2.048373024595419E+001	8.258275862008718E+001	
7.897944513411465E+005	-2.039684153561915E+001	8.214680895748013E+001	
7.949694185207030E+005	-2.029767175562944E+001	8.157673185186046E+001	
8.001782936180272E+005	-2.019509866435444E+001	8.111500528736063E+001	
8.054212988078399E+005	-2.009460238701134E+001	8.059309915205547E+001	
8.106986577206160E+005	-1.999465980908248E+001	8.000911503190319E+001	
8.160105954521240E+005	-1.989494822515741E+001	7.948786704468193E+001	
8.213573385730264E+005	-1.980013406156014E+001	7.891682713828725E+001	
8.267391151385435E+005	-1.969181349730648E+001	7.834819739631490E+001	
8.321561546981814E+005	-1.958346853245058E+001	7.775784835937419E+001	
8.376086883055224E+005	-1.948052340954359E+001	7.724226493690200E+001	
8.430969485280803E+005	-1.938689044143921E+001	7.673254523402605E+001	
8.486211694572198E+005	-1.926038670835843E+001	7.605427051687120E+001	
8.541815867181420E+005	-1.917937240750852E+001	7.553600804324911E+001	
8.597784374799342E+005	-1.906891124924962E+001	7.502942759174395E+001	
8.654119604656852E+005	-1.894912400644643E+001	7.432325219212862E+001	
8.710823959626689E+005	-1.883461956872051E+001	7.378545921179402E+001	
8.767899858325921E+005	-1.872068558145116E+001	7.317705510348782E+001	
8.825349735219113E+005	-1.860507219914253E+001	7.248872036963188E+001	
8.883176040722162E+005	-1.850678104557057E+001	7.189015345433158E+001	
8.941381241306819E+005	-1.838170794981093E+001	7.126626551188852E+001	
8.999967819605883E+005	-1.824732783761911E+001	7.056548488099132E+001	
9.058938274519104E+005	-1.814681140166827E+001	6.991565539647415E+001	
9.118295121319760E+005	-1.801451297498047E+001	6.915949719583730E+001	
9.178040891761945E+005	-1.789413059767978E+001	6.851624600389724E+001	
9.238178134188557E+005	-1.776229519358548E+001	6.774224163410484E+001	
9.298709413639989E+005	-1.764015501897982E+001	6.691292862511385E+001	
9.359637311963543E+005	-1.750685365987248E+001	6.622534436316165E+001	
9.420964427923544E+005	-1.738153127190619E+001	6.540369875131864E+001	
9.482693377312193E+005	-1.724396957215023E+001	6.452020292407278E+001	
9.544826793061136E+005	-1.709388619468837E+001	6.373042960517223E+001	
9.607367325353769E+005	-1.694900269469872E+001	6.291555009083979E+001	
9.670317641738271E+005	-1.684518987238972E+001	6.182960881266547E+001	
9.733680427241389E+005	-1.665648152969992E+001	6.107107902117416E+001	
9.797458384482961E+005	-1.652213682532539E+001	5.985913337424686E+001	
9.861654233791188E+005	-1.637429812072803E+001	5.904194651005523E+001	
9.926270713318669E+005	-1.624491381749579E+001	5.809042113446566E+001	
9.991310579159191E+005	-1.607733678844110E+001	5.694755132881383E+001	
1.005677660546528E+006	-1.591210608150491E+001	5.597935831430046E+001	
1.012267158456654E+006	-1.576441302030052E+001	5.461689481372624E+001	
1.018899832708873E+006	-1.560965173749457E+001	5.322947075876993E+001	
1.025575966207368E+006	-1.544304784477737E+001	5.212016975679800E+001	
1.032295843709993E+006	-1.528188176488111E+001	5.005855668137831E+001	
1.039059751840419E+006	-1.517040050199210E+001	4.939014657844296E+001	
1.045867979100362E+006	-1.491882832463768E+001	4.764381857100842E+001	
1.052720815881885E+006	-1.494396187363939E+001	4.724046658445592E+001	
1.059618554479787E+006	-1.479800445437595E+001	4.537480338533067E+001	
1.066561489104068E+006	-1.447792181892991E+001	4.373267411324273E+001	
1.073549915892481E+006	-1.437037269430726E+001	4.259614670236297E+001	
1.080584132923160E+006	-1.423496100524389E+001	4.053476120724894E+001	
1.087664440227334E+006	-1.396146009898048E+001	3.908388134476232E+001	
1.094791139802127E+006	-1.373808257848116E+001	3.682783710613442E+001	
1.101964535623438E+006	-1.354685794867972E+001	3.483995581444823E+001	
1.109184933658906E+006	-1.337405114196925E+001	3.210988222660331E+001	
1.116452641880958E+006	-1.315152495138115E+001	2.973958662368280E+001	
1.123767970279951E+006	-1.300881896408940E+001	2.647507012402957E+001	
1.131131230877389E+006	-1.293223538073875E+001	2.255343800360038E+001	
1.138542737739234E+006	-1.304661854434428E+001	2.079569525419668E+001	
1.146002806989300E+006	-1.281290293934494E+001	1.811525117567276E+001	
1.153511756822739E+006	-1.266605854490676E+001	1.515909913874001E+001	
1.161069907519612E+006	-1.273477704881479E+001	1.083124848515746E+001	
1.168677581458549E+006	-1.280372507366487E+001	9.405667401610504E+000	
1.176335103130500E+006	-1.268941642957949E+001	4.416231916073128E+000	
1.184042799152576E+006	-1.264238056103002E+001	2.101304430714024E+000	
1.191800998281983E+006	-1.259225736997660E+001	-1.386307397260669E+000	
1.199610031430037E+006	-1.242664599193914E+001	-5.198367553297851E+000	
1.207470231676285E+006	-1.283050884755706E+001	-9.503866377446260E+000	
1.215381934282710E+006	-1.261532836325073E+001	-1.554818910221466E+001	
1.223345476708032E+006	-1.297400641448553E+001	-2.025631663409691E+001	
1.231361198622098E+006	-1.320936312925145E+001	-2.384560498104784E+001	
1.239429441920374E+006	-1.364106976190439E+001	-2.732740490467674E+001	
1.247550550738526E+006	-1.408072949373925E+001	-3.048280811279750E+001	
1.255724871467098E+006	-1.474930287927505E+001	-3.467639031366427E+001	
1.263952752766290E+006	-1.460179269015909E+001	-3.642139813523853E+001	
1.272234545580823E+006	-1.496273635688856E+001	-4.204374445530797E+001	
1.280570603154916E+006	-1.552501699381713E+001	-4.594551194988657E+001	
1.288961281047345E+006	-1.620761347295256E+001	-4.980992951080850E+001	
1.297406937146615E+006	-1.671956978528077E+001	-5.197647622460824E+001	
1.305907931686222E+006	-1.728769537538664E+001	-5.594271020278887E+001	
1.314464627260017E+006	-1.791729410869427E+001	-5.797485788442846E+001	
1.323077388837675E+006	-1.870083019655701E+001	-6.071447766551605E+001	
1.331746583780260E+006	-1.929747742212663E+001	-6.307944695192922E+001	
1.340472581855894E+006	-1.994878438027689E+001	-6.472221586954818E+001	
1.349255755255530E+006	-2.067954203656030E+001	-6.716360513774755E+001	
1.358096478608826E+006	-2.139480486237591E+001	-6.892552901453435E+001	
1.366995129000124E+006	-2.226149177915394E+001	-7.096580484336455E+001	
1.375952085984535E+006	-2.310151940885486E+001	-7.202293128214942E+001	
1.384967731604127E+006	-2.400519941520294E+001	-7.331568124674818E+001	
1.394042450404222E+006	-2.478464089453783E+001	-7.324364658710589E+001	
1.403176629449796E+006	-2.584548177703184E+001	-7.380914168837082E+001	
1.412370658341988E+006	-2.658774092807381E+001	-7.470567884632528E+001	
1.421624929234721E+006	-2.739610482182849E+001	-7.416831432949097E+001	
1.430939836851426E+006	-2.829801454324139E+001	-7.537400042593228E+001	
1.440315778501879E+006	-2.949906632589043E+001	-7.620448937128414E+001	
1.449753154099146E+006	-3.079496271963192E+001	-7.510497562346227E+001	
1.459252366176646E+006	-3.204529166582680E+001	-7.411879151510144E+001	
1.468813819905310E+006	-3.356260363019396E+001	-7.229120417159231E+001	
1.478437923110874E+006	-3.521642975235144E+001	-6.916715646338182E+001	
1.488125086291267E+006	-3.697063382848838E+001	-6.337931773229385E+001	
1.497875722634121E+006	-3.879668980614630E+001	-5.633139552378505E+001	
1.507690248034399E+006	-4.093962211640597E+001	-4.385792082052301E+001	
1.517569081112128E+006	-4.243081242375850E+001	-2.451934360495656E+001	
1.527512643230257E+006	-4.230924646535798E+001	-2.697209872440777E+000	
1.537521358512634E+006	-4.195715346936892E+001	1.520871573862709E+001	
1.547595653862087E+006	-4.013755034497363E+001	2.987243139393275E+001	
1.557735958978641E+006	-3.890028801410330E+001	3.812396346449885E+001	
1.567942706377842E+006	-3.745561072615408E+001	4.532564560696792E+001	
1.578216331409205E+006	-3.613556394784079E+001	4.848354741112846E+001	
1.588557272274786E+006	-3.507493130372841E+001	5.136323360848894E+001	
1.598965970047869E+006	-3.412390703400993E+001	5.431360849288071E+001	
1.609442868691781E+006	-3.331390568226845E+001	5.533531467665845E+001	
1.619988415078829E+006	-3.254105316978145E+001	5.706349234666807E+001	
1.630603059009359E+006	-3.178716736600481E+001	5.764434470421465E+001	
1.641287253230943E+006	-3.113073713674900E+001	5.796195959043497E+001	
1.652041453457688E+006	-3.054782196757393E+001	5.844636073493583E+001	
